iter	RMSE
144	0.7169802254
145	0.716396251
146	0.7159725373
147	0.7155340237
148	0.7149555345
149	0.7145357013
150	0.7140111161
151	0.7133718048
152	0.7128195859
153	0.712175291
154	0.7117824022
155	0.7113457568
156	0.710798489
157	0.7103329705
158	0.7099145367
159	0.7093667249
160	0.708862928
161	0.7083757955
162	0.7078980352
163	0.7074994552
164	0.7069522136
165	0.7065010966
166	0.7059165228
167	0.7053952466
168	0.7049592346
169	0.7046062103
170	0.7042008762
171	0.7034205715
172	0.7029505069
173	0.7024248295
174	0.701844928
175	0.7012800693
176	0.7008417585
177	0.7002739168
178	0.6997887768
179	0.6994248175
180	0.6988395985
181	0.6982932092
182	0.6977474002
183	0.6972026839
184	0.6964991848
185	0.6961615569
186	0.6955190268
187	0.6949329956
188	0.6944774871
189	0.6938419648
190	0.6932291073
191	0.6925732099
192	0.6920791243
193	0.6915120721
194	0.6910378179
195	0.6903654588
196	0.6897891957
197	0.6891492397
198	0.6886505276
199	0.688066613
200	0.6875340725
201	0.687066201
202	0.6864658267
203	0.6859125222
204	0.6854475166
205	0.6849401302
206	0.6844932423
207	0.6839885071
208	0.6834582578
209	0.6828135987
210	0.6823332643
211	0.6818668642
212	0.6813354352
213	0.6807382618
214	0.680059963
215	0.6796871252
216	0.6792323446
217	0.6787085488
218	0.6781552156
219	0.6774672511
220	0.6770596102
221	0.6764858531
222	0.675864458
223	0.6753872528
224	0.6749231846
225	0.6744697863
226	0.6740729956
227	0.6736568695
228	0.6731612154
229	0.6726813832
230	0.6721566022
231	0.6715086408
232	0.6712694269
233	0.6708053972
234	0.6701396111
235	0.6695054019
236	0.6690288305
237	0.6684416351
238	0.6680013389
239	0.6676238916
240	0.6672548043
241	0.6667802781
242	0.6662960398
243	0.6656915435
244	0.665299296
245	0.6648439148
246	0.6644599847
247	0.6640814471
248	0.6637068328
249	0.6632850903
250	0.6626445302
251	0.6622251898
252	0.6618438599
253	0.6611472589
254	0.6606111156
255	0.6599863029
256	0.6595825288
257	0.6592500397
258	0.6587411665
259	0.6581228232
260	0.6575548541
261	0.6571315068
262	0.6567401824
263	0.6562966992
264	0.6557592257
265	0.6554099782
266	0.6550423801
267	0.6544790332
268	0.6540774775
269	0.6535046136
270	0.6530963789
271	0.6527499146
272	0.6521977116
273	0.6517810148
274	0.6512579271
275	0.6507364737
276	0.6502905885
277	0.6498826572
278	0.6493585704
279	0.6489529416
280	0.6484296624
281	0.6478824308
282	0.6473427996
283	0.6470303856
284	0.6465122469
285	0.6460920714
286	0.6456022703
287	0.6451746963
288	0.6445393766
289	0.6440373825
290	0.6434394641
291	0.6429227155
292	0.6424960404
293	0.6419310566
294	0.6414559083
295	0.6410400136
296	0.6405952471
297	0.6402300106
298	0.6398116995
299	0.6394966872
300	0.6391359011
301	0.6387039707
302	0.6382918214
303	0.6378471647
304	0.6372406149
305	0.6367101585
306	0.6363119035
307	0.635886159
308	0.6353385382
309	0.6349405275
310	0.634403224
311	0.6340106589
312	0.6335459058
313	0.6329970019
314	0.6325600895
315	0.6321921751
316	0.6316369259
317	0.6311961907
318	0.630753293
319	0.63043159
320	0.6299224899
321	0.6295600188
322	0.62924988
323	0.6288365573
324	0.6285542034
325	0.6281102905
326	0.6277329191
327	0.6273348696
328	0.6269597423
329	0.6266168088
330	0.6263546675
331	0.6259754757
332	0.62570279
333	0.6252257614
334	0.6249760973
335	0.6243856886
336	0.6241538472
337	0.6238595308
338	0.623431508
339	0.6228570914
340	0.6225003766
341	0.6221721661
342	0.6217976954
343	0.6213773862
344	0.6210470708
345	0.6206096754
346	0.620215829
347	0.6198816844
348	0.61941622
349	0.6190606145
350	0.6185027377
351	0.6180032567
352	0.6174430148
353	0.6171663202
354	0.6166744914
355	0.6163372146
356	0.6160006491
357	0.6156816639
358	0.6150770481
359	0.6146204484
360	0.614122129
361	0.6136820869
362	0.6133037394
363	0.6128784531
364	0.6125345744
365	0.6121199149
366	0.6118424438
367	0.6114296526
368	0.6110076401
369	0.6105941911
370	0.6101615493
371	0.6098879007
372	0.6096074801
373	0.6091496469
374	0.6086889626
375	0.6084371223
376	0.6081167242
377	0.6075517413
378	0.6073430713
379	0.6069940078
380	0.6067152982
381	0.6063717347
382	0.6058922146
383	0.6054517187
384	0.605073583
385	0.6046104837
386	0.6042252928
387	0.6038688415
388	0.6033777738
389	0.6029498005
390	0.6025207317
391	0.6022374309
392	0.6018435437
393	0.601538396
394	0.6012364784
395	0.6009186612
396	0.6006402767
397	0.6003421025
398	0.5997464653
399	0.5993927596
400	0.5989591257
401	0.5986970456
402	0.5983587985
403	0.5978430347
404	0.5973795814
405	0.5969507016
406	0.596705671
407	0.5964496248
408	0.5960225442
409	0.5957320566
410	0.5954112605
411	0.5951379767
412	0.5947204902
413	0.5943632503
414	0.5939820487
415	0.593587205
416	0.5931991612
417	0.5927683161
418	0.5926021483
419	0.5923207021
420	0.5919669095
421	0.5916944947
422	0.5914435558
423	0.5911631064
424	0.5909052101
425	0.5906923062
426	0.5903599314
427	0.5900046315
428	0.5897034268
429	0.5894223197
430	0.5890535216
431	0.5887876722
432	0.5884097063
433	0.5880644945
434	0.58766689
435	0.5874253348
436	0.5870692774
437	0.5867746905
438	0.58649479
439	0.586150619
440	0.5858933771
441	0.5855870637
442	0.5853059504
443	0.5850129621
444	0.5845040656
445	0.5840834197
446	0.5837629332
447	0.5834713685
448	0.5831006844
449	0.5826819696
450	0.5822937075
451	0.5820042921
452	0.5816215866
453	0.5812935607
454	0.5810982009
455	0.5806968112
456	0.5804781664
457	0.5802521218
458	0.5798293739
459	0.5795288712
460	0.57933976
461	0.5789951901
462	0.5787500457
463	0.5783853323
464	0.5780317707
465	0.577805167
466	0.577525329
467	0.5772475285
468	0.5768709358
469	0.5766076574
470	0.5764750534
471	0.5762127295
472	0.5759441546
473	0.575637226
474	0.57535707
475	0.5751167646
476	0.5748960228
477	0.574608423
478	0.5743929009
479	0.5740469959
480	0.5737004899
481	0.5734608634
482	0.573143194
483	0.5729180616
484	0.5724461606
485	0.5721676468
486	0.5718497112
487	0.5714053612
488	0.571139208
489	0.5707639272
490	0.5704898479
491	0.5702577088
492	0.569993962
493	0.569569736
494	0.5692702061
495	0.568888708
496	0.5685993794
497	0.5681974135
498	0.5679121499
499	0.5676772154
500	0.5673641143
501	0.5671278801
502	0.5668554519
503	0.5665878029
504	0.5663036648
505	0.5660448966
506	0.5655959028
507	0.5652910141
508	0.5649916996
509	0.5646412885
510	0.5643227878
511	0.5639579366
512	0.5635724086
513	0.5633703875
514	0.5631630975
515	0.5628669598
516	0.5626108324
517	0.5622603168
518	0.5620532566
519	0.5617808446
520	0.5614242094
521	0.5611653618
522	0.560887961
523	0.5606366622
524	0.5603751933
525	0.5600273595
526	0.5596714121
527	0.5594168403
528	0.5592069462
529	0.5588287783
530	0.5585133065
531	0.5581679276
532	0.5579115655
533	0.557537264
534	0.5571981371
535	0.5569730211
536	0.5566402041
537	0.5563534654
538	0.5560794997
539	0.5558715426
540	0.555559698
541	0.5551815041
542	0.5549572491
543	0.554571562
544	0.5542750918
545	0.5539683055
546	0.5537694638
547	0.5534847839
548	0.5532065041
549	0.5528985933
550	0.5525675711
551	0.5522578038
552	0.5519537776
553	0.5516672345
554	0.551400278
555	0.5511206899
556	0.5507823408
557	0.550551686
558	0.5503446179
559	0.5500459639
560	0.549829178
561	0.5495513878
562	0.5492103996
563	0.5489288087
564	0.548697475
565	0.5483849784
566	0.5481213981
567	0.5478883877
568	0.5476588824
569	0.5474047438
570	0.547260718
571	0.5470690654
572	0.5468545308
573	0.5466182055
574	0.5463437148
575	0.5460542887
576	0.5458181161
577	0.5454766906
578	0.5451547271
579	0.5448933834
580	0.5446900347
581	0.5442648302
582	0.544002253
583	0.5437213644
584	0.5434921642
585	0.5432984053
586	0.5431269333
587	0.5427408614
588	0.5425200383
589	0.5422468409
590	0.5419096239
591	0.5416620778
592	0.5414538463
593	0.5411755075
594	0.5408521829
595	0.540432845
596	0.5401865532
597	0.5398887062
598	0.5397103862
599	0.5394466933
600	0.5390706464
601	0.5387942156
602	0.5386283534
603	0.5384054632
604	0.5380328669
605	0.5377743317
606	0.5375786302
607	0.5373054598
608	0.5370127871
609	0.5367267881
610	0.5365173385
611	0.5363219444
612	0.535943832
613	0.5356345584
614	0.5355086606
615	0.5353022797
616	0.535025815
617	0.5347504869
618	0.5344673112
619	0.5342414257
620	0.5340804276
621	0.5338433762
622	0.533542129
623	0.5332215933
624	0.5329861858
625	0.5326993876
626	0.5324396897
627	0.5321748863
628	0.5319635123
629	0.5316397406
630	0.531407308
631	0.5311225079
632	0.5308049186
633	0.530592891
634	0.5302854023
635	0.5300401277
636	0.5298136246
637	0.5295027731
638	0.5292599358
639	0.5289764633
640	0.5287526754
641	0.5285605788
642	0.5281965556
643	0.5278491695
644	0.5276498397
645	0.5274548138
646	0.5272363155
647	0.5269609892
648	0.5266344548
649	0.5264665819
650	0.5261934715
651	0.5259898453
652	0.5257205266
653	0.5254025543
654	0.525178227
655	0.5249501685
656	0.5248049687
657	0.5245496921
658	0.5242326963
659	0.5239710543
660	0.5237251237
661	0.5235818664
662	0.5233040558
663	0.5230975855
664	0.5228444481
665	0.5225378855
666	0.522263474
667	0.5219766024
668	0.521765089
669	0.5216462321
670	0.5213786344
671	0.5210191968
672	0.5208044274
673	0.5205614297
674	0.5203639182
675	0.5201576289
676	0.519956297
677	0.5196762387
678	0.5194876982
679	0.5191811856
680	0.5190341244
681	0.518814824
682	0.5185456223
683	0.5183258353
684	0.518039523
685	0.5177822423
686	0.5175108306
687	0.5172368209
688	0.5170582024
689	0.5167722758
690	0.5164853246
691	0.5162867965
692	0.5160442803
693	0.5158285688
694	0.5156447945
695	0.5154780168
696	0.5152380316
697	0.5149996936
698	0.5147796037
699	0.5144795139
700	0.5142743904
701	0.5140440248
702	0.5138006002
703	0.5135497125
704	0.5133205875
705	0.5130878845
706	0.5128795451
707	0.5127447427
708	0.5124454545
709	0.512241538
710	0.5120108191
711	0.5117040542
712	0.5115369414
713	0.5112311641
714	0.5110428785
715	0.5107697679
