iter	Passed	Remaining
162	228	1172
163	229	1170
164	231	1169
165	232	1169
166	234	1168
167	235	1167
168	237	1165
169	238	1165
170	240	1165
171	242	1166
172	243	1165
173	245	1165
174	247	1164
175	248	1164
176	250	1164
177	252	1164
178	253	1163
179	255	1163
180	257	1163
181	258	1163
182	260	1163
183	262	1162
184	263	1162
185	265	1162
186	267	1162
187	269	1163
188	271	1164
189	272	1163
190	274	1163
191	276	1163
192	278	1163
193	279	1162
194	281	1162
195	283	1161
196	285	1162
197	286	1161
198	288	1160
199	290	1160
200	291	1159
201	293	1161
202	296	1162
203	297	1160
204	298	1159
205	300	1157
206	301	1156
207	303	1155
208	305	1154
209	306	1153
210	308	1152
211	310	1152
212	311	1152
213	313	1152
214	315	1153
215	317	1152
216	319	1151
217	320	1150
218	322	1149
219	323	1148
220	325	1146
221	326	1145
222	328	1143
223	329	1142
224	331	1142
225	333	1141
226	334	1140
227	336	1140
228	338	1139
229	340	1139
230	342	1138
231	343	1137
232	345	1136
233	346	1134
234	348	1133
235	349	1132
236	351	1131
237	353	1131
238	355	1131
239	356	1130
240	358	1129
241	359	1127
242	361	1125
243	362	1123
244	364	1122
245	365	1121
246	367	1120
247	369	1118
248	370	1117
249	372	1117
250	374	1116
251	376	1116
252	377	1114
253	379	1113
254	380	1112
255	382	1111
256	384	1111
257	386	1110
258	387	1109
259	389	1109
260	391	1108
261	392	1106
262	394	1105
263	396	1104
264	397	1103
265	399	1102
266	401	1101
267	403	1101
268	405	1100
269	406	1100
270	408	1099
271	410	1097
272	412	1098
273	414	1097
274	415	1095
275	417	1094
276	419	1093
277	420	1093
278	422	1091
279	423	1090
280	425	1088
281	427	1088
282	429	1087
283	431	1086
284	433	1086
285	435	1086
286	437	1086
287	439	1085
288	441	1085
289	442	1084
290	444	1083
291	446	1082
292	448	1082
293	450	1082
294	452	1081
295	454	1080
296	455	1079
297	457	1078
298	459	1077
299	461	1076
300	463	1076
301	465	1075
302	467	1074
303	469	1074
304	471	1074
305	473	1073
306	475	1073
307	477	1072
308	479	1072
309	481	1072
310	483	1071
311	485	1070
312	486	1068
313	488	1067
314	490	1066
315	492	1065
316	493	1064
317	495	1063
318	497	1062
319	499	1062
320	501	1061
321	503	1060
322	505	1058
323	507	1057
324	508	1057
325	510	1056
326	512	1055
327	514	1054
328	516	1053
329	518	1052
330	520	1051
331	521	1049
332	523	1048
333	525	1047
334	527	1046
335	529	1046
336	531	1045
337	533	1044
338	535	1043
339	537	1042
340	538	1041
341	541	1042
342	543	1040
343	545	1039
344	546	1038
345	548	1036
346	550	1035
347	551	1034
348	553	1032
349	555	1031
350	557	1029
351	559	1029
352	561	1029
353	563	1028
354	565	1027
355	567	1026
356	568	1024
357	570	1022
358	571	1021
359	573	1019
360	574	1017
361	576	1016
362	579	1016
363	581	1016
364	583	1015
365	585	1014
366	587	1012
367	588	1011
368	590	1009
369	592	1008
370	594	1007
371	596	1006
372	598	1005
373	599	1004
374	601	1002
375	603	1000
376	604	999
377	606	998
378	608	997
379	610	996
380	612	994
381	614	993
382	616	992
383	617	991
384	619	989
385	622	989
386	624	988
387	625	987
388	627	986
389	629	985
390	631	983
391	633	982
392	635	980
393	636	979
394	638	977
395	639	975
396	641	973
397	642	972
398	644	970
399	646	969
400	648	968
401	649	966
402	651	965
403	653	964
404	655	962
405	657	961
406	658	960
407	661	959
408	662	957
409	664	956
410	666	955
411	668	953
412	670	952
413	671	950
414	673	949
415	675	948
416	678	948
417	679	946
418	682	946
419	683	944
420	685	943
421	687	941
422	689	940
423	691	938
424	693	937
425	694	936
426	696	934
427	698	933
428	700	932
429	701	930
430	703	928
431	704	926
432	706	925
433	708	923
434	710	922
435	711	921
436	713	919
437	715	917
438	717	916
439	718	914
440	720	913
441	722	912
442	724	910
443	726	909
444	727	907
445	729	906
446	731	905
447	733	904
448	735	902
449	737	901
450	739	900
451	741	898
452	743	897
453	745	896
454	746	894
455	748	893
456	750	891
457	751	889
458	753	888
459	756	887
460	758	886
461	760	885
462	761	883
463	763	882
464	765	880
465	767	879
466	769	877
467	771	876
468	773	875
469	774	873
470	776	872
471	778	870
472	780	869
473	782	867
474	783	866
475	785	865
476	787	863
477	789	861
478	790	860
479	792	858
480	793	856
481	795	854
482	796	852
483	798	851
484	800	849
485	801	847
486	803	846
487	804	844
488	806	842
489	808	841
490	810	839
491	811	838
492	814	837
493	815	835
494	817	834
495	819	832
496	821	831
497	823	830
498	825	829
499	827	827
500	829	825
501	830	824
502	833	823
503	835	821
504	837	820
505	838	818
506	840	816
507	841	815
508	843	813
509	844	811
510	846	810
511	848	808
512	850	807
513	852	806
514	854	805
515	856	803
516	858	801
517	860	800
518	861	798
519	863	796
520	865	795
521	867	793
522	868	792
523	870	790
524	872	789
525	873	787
526	875	785
527	877	784
528	879	782
529	880	781
530	882	779
531	884	778
532	886	776
533	888	775
534	889	773
535	891	771
536	893	770
537	894	768
538	896	766
539	898	765
540	899	763
541	901	761
542	904	760
543	905	759
544	907	757
545	909	756
546	910	754
547	912	752
548	914	751
549	916	749
550	918	748
551	920	747
552	922	745
553	924	743
554	925	742
555	927	740
556	929	739
557	931	737
558	933	736
559	935	734
560	937	733
561	939	732
562	941	730
563	942	728
564	944	727
565	946	725
566	948	724
567	950	722
568	951	720
569	953	719
570	955	717
571	956	716
572	959	714
573	961	713
574	962	711
575	964	710
576	966	708
577	968	707
578	970	705
579	972	703
580	973	702
581	975	700
582	977	699
583	979	697
584	981	696
585	983	694
586	985	693
587	987	691
588	988	689
589	990	688
590	992	686
591	994	685
592	996	684
593	998	682
594	1000	680
595	1001	679
596	1003	677
597	1005	675
598	1006	673
599	1008	672
600	1009	670
601	1011	668
602	1012	666
603	1014	665
604	1016	663
605	1018	661
606	1019	660
607	1022	659
608	1023	657
609	1025	655
610	1026	653
611	1028	652
612	1030	650
613	1032	649
614	1033	647
615	1035	645
616	1036	643
617	1038	641
618	1039	640
619	1041	638
620	1042	636
621	1044	634
622	1045	632
623	1047	631
624	1048	629
625	1050	627
626	1051	625
627	1053	623
628	1054	622
629	1056	620
630	1057	618
631	1059	616
632	1060	615
633	1062	613
634	1064	611
635	1065	609
636	1066	607
637	1068	606
638	1069	604
639	1071	602
640	1072	600
641	1074	599
642	1075	597
643	1077	595
644	1079	593
645	1080	592
646	1082	590
647	1083	588
648	1085	587
649	1087	585
650	1088	583
651	1090	581
652	1091	580
653	1093	578
654	1095	576
655	1096	575
656	1098	573
657	1100	571
658	1102	570
659	1103	568
660	1106	567
661	1107	565
662	1109	563
663	1110	562
664	1112	560
665	1113	558
666	1115	556
667	1117	555
668	1118	553
669	1119	551
670	1121	549
671	1122	548
672	1124	546
673	1125	544
674	1127	542
675	1130	541
676	1131	540
677	1133	538
678	1134	536
679	1136	534
680	1137	532
681	1139	531
682	1141	529
683	1142	527
684	1144	526
685	1145	524
686	1147	522
687	1148	521
688	1150	519
689	1151	517
690	1154	516
691	1155	514
692	1157	512
693	1158	510
694	1160	509
695	1161	507
696	1163	505
697	1165	504
698	1166	502
699	1168	500
700	1169	499
701	1171	497
702	1172	495
703	1174	493
704	1176	492
705	1177	490
706	1179	488
707	1181	487
708	1183	485
709	1184	483
710	1186	482
711	1187	480
712	1189	478
713	1190	476
714	1192	475
715	1193	473
